0.263	0.0456
1.927	-0.0033
3.581	-0.0511
5.211	-0.0918
6.881	-0.1209
8.527	-0.1398
10.159	-0.1459
11.834	-0.1393
13.473	-0.1257
15.109	-0.1074
16.786	-0.0880
18.419	-0.0734
20.059	-0.0664
21.737	-0.0678
23.365	-0.0768
25.010	-0.0917
26.686	-0.1061
28.311	-0.1098
29.962	-0.0995
31.635	-0.0637
33.256	0.0094
34.916	0.1167
36.583	0.2662
38.203	0.4614
39.870	0.6863
41.530	0.9413
43.149	1.2189
44.826	1.4938
46.476	1.7637
48.096	2.0162
49.783	2.2273
51.422	2.3997
53.044	2.5226
54.741	2.5788
56.368	2.5759
57.992	2.5033
59.701	2.3458
61.313	2.1083
62.941	1.7739
64.658	1.3235
66.258	0.7567
67.891	0.0529
69.607	-0.8049
71.202	-1.8105
72.842	-2.9735
74.555	-4.2923
76.147	-5.7347
77.794	-7.2868
79.502	-8.9178
81.091	-10.5663
82.747	-12.2042
84.448	-13.7835
86.036	-15.2344
87.702	-16.5389
89.393	-17.6566
90.981	-18.5405
92.657	-19.2076
94.337	-19.6461
95.927	-19.8496
97.615	-19.8668
99.281	-19.7050
100.873	-19.3800
102.573	-18.9434
104.225	-18.3984
105.820	-17.7611
107.533	-17.0674
109.167	-16.3063
110.767	-15.4876
112.495	-14.6287
114.110	-13.7091
115.716	-12.7391
117.458	-11.7277
119.052	-10.6583
120.665	-9.5524
122.422	-8.4192
123.995	-7.2522
125.616	-6.0865
127.388	-4.9300
128.937	-3.7831
130.568	-2.6886
132.340	-1.6440
133.879	-0.6513
135.521	0.2518
137.282	1.0840
138.822	1.8452
140.475	2.5104
142.224	3.1131
143.765	3.6534
145.431	4.1190
147.165	4.5491
148.709	4.9382
150.388	5.2810
152.106	5.6111
153.653	5.9131
155.347	6.1833
157.046	6.4447
158.597	6.6735
160.308	6.8685
161.985	7.0439
163.543	7.1765
165.270	7.2712
166.924	7.3393
168.490	7.3657
170.234	7.3628
171.863	7.3401
173.438	7.2923
175.200	7.2342
176.802	7.1696
178.386	7.0990
180.167	7.0335
181.741	6.9676
183.337	6.9051
185.137	6.8516
186.680	6.7938
188.288	6.7403
190.108	6.6936
191.620	6.6364
193.241	6.5836
195.080	6.5351
196.560	6.4714
198.196	6.4106
200.017	6.3469
201.500	6.2612
203.152	6.1683
204.954	6.0570
206.441	5.9112
208.111	5.7442
209.890	5.5449
211.383	5.3069
213.071	5.0471
214.825	4.7612
216.325	4.4557
218.032	4.1522
219.760	3.8515
221.269	3.5679
222.996	3.3191
224.695	3.1025
226.214	2.9284
227.962	2.8016
229.630	2.7093
231.160	2.6524
232.929	2.6234
234.565	2.6024
236.107	2.5871
237.899	2.5670
239.500	2.5255
241.056	2.4666
242.871	2.3848
244.435	2.2727
246.007	2.1420
247.844	1.9910
249.370	1.8185
